character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
些,"止, 匕, 二","Little, few, rather, somewhat",xiē,"些
├── 此
│   ├── 止
│   └── 匕
└── 二",⿱⿰止匕二,① a man 匕 stops 止  walking after only two 二 paces ② two 二 spoons 匕 stop 止 a little hunger," 此
",,,109
理,"王, 里","Reason, logic, manage",lǐ,"理
├── 王
└── 里",⿰王里,① the wisest man (having reason and logic) is king 王 of the village 里: he manages everything," 故 由 訳; 妄; 夋 旨 倫 綱 経
",,,110
长,⾧,"Long, length, excel in, leader, grow, rad. 168","cháng, zhǎng",长,⾧,① long hair 彡 growing:  → 長 → 长," 縦; 伸; 頭; 永; 帳 張 脹; al. 镸: 髪
",,,111
明,"日, 月","Bright, light, brilliant, clear","míng, Míng","明
├── 日
└── 月",⿰日月,① the sun 日 and the moon 月 are the brightest objects in the sky,,,,112
样,"木, 羊","Shape, form, pattern, style",yàng,"样
├── 木
└── 羊",⿰木羊,① a sheeps ⺷/羊 hide left to dry on a wooden 木 structure for a long time 永 has a distinct shape or form,,,,113
意,"立, 日, 心","Thought, idea, opinion, think","yì, Yì","意
├── 音
└── 心",⿱⿱立日心,① sound 音 from the mind 心,凝; 念; 憶 億,,,114
已,已,"Already, finished, stop",yǐ,已,,"① image of a snake: stop, don't go further! ② looks like a fetus: the human project is already finished, the pregnancy will stop soon",,,,115
月,⽉,"Moon, month, rad. 74",yuè,月,⽉,①  →  → 月; the moon is every month in the same position; don't confuse with ⺼,"潮 望 朗 塑 朝 期 明
",,,116
正,"一, 止","Right, proper, correct","zhēng, zhèng","正
├── 一
└── 止",⿱一止,① person standing 止 upright:  → 正: he holds his head high because he knows he is right," 端 宜; 直 校 矯 訂; 症 整 征 証 政; al. 𤴓: 定 従 是
",,,117
想,"木, 目, 心","Think, speculate, plan, consider",xiǎng,"想
├── 相
│   ├── 木
│   └── 目
└── 心",⿱⿰木目心,"① when persons are mutually 相 in each others hearts 心, they think regularly of each other; thinking is related 相 to the mind 心",憶 考 念 思,,,118
实,"宀, 大, ⺀","Real, true, honest, sincere",shí,"实
├── 宀
└── 头
    ├── 大
    └── ⺀",⿱宀⿱大⺀,① from building 宀 and remnant string of coins 头貫: prosperous → real ② ⓢ folded hands 𡗗 in the house 宀: honest and sincere people： 実 → 实 ③ ⓢ a firm head 头 is a room 宀 full of  honest practice,真 誠; 結; 菓 果; 實,,,119
把,"扌, 巴","Hold, take, guard, regard as","bǎ, bà","把
├── 扌
└── 巴
    ├── 𠃜
    │   ├── 丨
    │   └── 47652
    │       ├── 99721
    │       │   └── 匚
    │       └── 丨
    └── 乚",⿰扌巴,"① hand 扌 holding, taking or guarding something it desires greatly 巴",,,,120
但,"亻, 日, 一","Only, but, however, yet, still",dàn,"但
├── 亻
└── 旦
    ├── 日
    └── 一",⿰亻⿱日一,① person 亻 in the morning 旦: he needs to wake up but/however/still/only wants to sleep,,,,121
相,"木, 目","Mutual, reciprocal, each other, govt. minister (on mutual terms with the emperor and the people), aspect","xiāng, xiàng, Xiāng","相
├── 木
└── 目",⿰木目,① 目 and 木  have the same pronounciation (mu4 or モク): they have mutual or reciprocal similarities or aspects,互; 面; 省 臣; 想 箱 霜,,,122
两,"一, 冂, 人","two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",liǎng,"两
├── 一
└── 37671
    ├── 从
    │   └── 人
    └── 冂",⿱一⿻冂⿰人人,,,,,123
民,民,"People, subjects, citizens","mín, Mín",民,,① rs. vagina of a woman 女 from which all people come  → 民 ② many 十 persons 尸 ③ people marching 尺 in one 一 (the same) rhythm ④ rs. originally a needle stuck in the eye 目: blind,,,,124
她,"女, 也","She, her",tā,"她
├── 女
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰女也,① definitely 也 a woman 女,,,,125
力,⼒,"Power, capability, influence","lì, Lì",力,⼒,① image of a man 人 flexing his muscles:  → 力,"  艮 雄 猛 強 剛; 精 勢; 尽
",,,126
文,⽂,"Literature, culture, writing, sentence","wén, Wén",文,⽂,① crossing pattern on earthenware  → 文: a sign of culture; hallmarks of culture are writing and literature, 書; 字 状; 対 斉 蚊 紋,,,127
等,"竹, 土, 寸","Rank, grade, wait, equal, 'etc.'",děng,"等
├── ⺮
└── 寺
    ├── 土
    └── 寸",⿱竹⿱土寸,"① tho bamboo 竹 scrolls in the temple 寺 order everything according to rank, grade ② a bamboo ⺮ temple 寺 waits to equal a marble temple in rank",,,,128
外,"夕, 卜","Out, outside, external, foreign",wài,"外
├── 夕
└── 卜",⿰夕卜,① to read the heavenly sign 夕 the fortune teller 卜 has to go outside; old variant 𡖄: from 夕 and 𠁡  ② person 卜 under the moon 夕: she's outside, 他; 撤 除; 抜,,,129
第,"竹, 弓, 丨, 丿","Sequence, number, grade, degree",dì,"第
├── ⺮
└── 𢎨
    ├── 弔
    │   ├── 弓
    │   └── 丨
    └── ㇒",⿱竹⿹⿻弓丨丿,① order of the mourned 弔 people carved 丿 on bamboo ⺮ scrolls,,,,130
王,王,"king or monarch, best or strongest of its type, grand, great, to rule, to reign over, surname Wang","wáng, wàng, Wáng",王,,,,,,131
高,⾼,"High, tall, lofty, elevated","gāo, Gāo",高,⾼,① high house visible in the open country 冂 with one room 口 above another 口 and a roof 亠 on top,耒; 稿 亭,,,132
问,"门, 口","Ask (about), inquire after, question",wèn,"问
├── 门
└── 口",⿵门口,① guards asking 口 inquisitive questions at your gate 門 ② distinguish 釆 the mouth 口,伺 請 尋 聞; 質; 偵,,,133
太,"大, 丶","Very, too, much, big, extreme, fat",tài,"太
├── 大
└── 丶",⿵大丶,① rs. pregnant adult 大 bearing a child 丶: a very big belly, 肪 肥 脂; 茂; 厚; 駄,,,134
头,"大, ⺀","Head, top, chief, first, boss","tóu, tou","头
├── 大
└── ⺀",⿱大⺀,① head 頁 round like a bean 豆 ② ⓢ big man 大 with two eyes ⺀ on his head,首; 夬 奐 長,,,135
情,"忄, 龶, 月","Feeling, sentiment, emotion",qíng,"情
├── 忄
└── 青",⿰忄⿱龶月,① heart 忄 feeling blue 青 because of the circumstances,,,,136
西,西,"West, western, westward, occident, rad. 146","xī, Xī",西,,"① lit.: bird (animal 一 with high legs 儿) sitting on top of a nest 口:  → 西: it is evening, the sun sets in the west ② head of a child ③ a bat has 2 large ears, hangs upside down from the ceiling and flies away when the sun sets in the west"," 洋 泰; 夕; 冖; al. 覀: 煙 価 票 覇 遷 覆 要; 襾
",,,137
机,"木, 几",Desk,"jī, Jī","机
├── 木
└── 几",⿰木几,① lit. wooden 木 table 几, 卓,,,138
它,"宀, 匕","It,that, this, other",tā,"它
├── 宀
└── 匕",⿱宀匕,"① man 匕 under a roof 宀: everything is his: this, that and other things",,,,139
回,"囗, 口","Return, turn around, a time",huí,"回
└── 囗",⿴囗口,① enclosure 囗 turning around something else 口," 次 度 遍 周; 転; 旋 巡; 壇
",,,140
并,"丷, 一, 廾","Equal to, side by side, also, what is more, both","bìng, Bīng","并
├── 丷
└── 开
    ├── 一
    └── 廾",⿱丷⿱一廾,"① stand 立 side by side  → 並 → 业, both men are equal",連 列; 及; 庸 凡; 普; al. 业: 菐 显 業 虚 繊; : 霊,,,141
间,"门, 日","Interval, space, place, between","jiān, jiàn","间
├── 门
└── 日",⿵门日,"① when the sun 日 is visible between the gate 門 posts, there's an open space; also 閒 or 𨳢 (people 亻 walking through an open gate 門))",透; 室 房,,,142
手,⼿,"Hand, person",shǒu,手,⼿,"① hand  → 手; con.: action, activity, be involved, work 働; diagonally crossing strokes are usually a hand", 人; 巴; 五; al. 又 乂 ⺤ ⺕ 彐 丰 扌 龵 𠂇 𦥑,,,143
四,"囗, 儿",Four,sì,"四
├── 囗
└── 儿",⿴囗儿,"① originally 𦉭 → 四, looks like something that is cut in four pieces ② con. a few, small group"," 丁
",,,144
关,"丷, 一, 大","Frontier pass, close, relation","guān, Guān","关
├── 丷
└── 天
    ├── 一
    └── 大",⿱丷⿱一大,① passing 𢇅 gate 門 ② gate 門 closed with threads 𢇅 ③ ⓢ place where the sky 天 is divided 丷 between two countries ④ ⓢ looks like a gate (with it's doorknobs 丷 and two halves 人) closed with threads 二,,,,145
重,重,"Heavy, weighty, double","chóng, zhòng","重
├── 千
│   ├── ㇒
│   └── 十
└── 里",重,① man 𡈼 holding a 一 heavy bag full of dirt from the fields 田 ② a man 亻 on the ground 一 carrying a heavy bag of dirt 亘,"軽; 坴 積 台; 塔; 薫 衝 動 種
",,,146
应,"广, 𭕄, 一","Should, ought to, need, respond to, answer","yīng, yìng, Yìng","应
├── 广
└── 37259
    ├── ⺍
    └── 一",⿸广⿱𭕄一,① mind 心 ready to respond like a falcon 䧹 ② ⓢ mind 心 wide 广 open with a attention: ready to respond 応 → 应,,,,147
工,⼯,"Labor, work, worker, laborer",gōng,工,⼯,① orig. carved pattern into something 𢒄 → 工: a sign that work has been done ② looks like an i-beam that is used in construction work, 働; 計;  巩 江 空 差 式 左 虹 紅 功 巧 貢 項 攻 尋 肛; al. 匚: 巨 匠,,,148
性,"忄, 生","Nature, character, sex",xìng,"性
├── 忄
└── 生",⿰忄生,① related to the heart 忄 of living 生 beings,,,,149
全,"人, 王","Complete, entirely, full, whole","quán, Quán","全
├── 人
└── 王",⿱人王,① the king 王 rules and possesses everything in his house 𠆢,庶 挙 皆 各 総 諸; 専; 栓,,,150
门,⾨,"Gate, door, entrance, opening","mén, Mén",门,⾨,"①  → 門; two doors 戶 make up one gate ② ⓢ looks like the frame of a door 冂 and it's door closer 丶, with the door itself missing", 砲 鬥,,,151
老,⽼,"Old, aged, experienced, rad. 125",lǎo,老,⽼,① person eating with spoon 匕 (having no teeth) food he has cut ⼃ from the fields 土 (therefore his back is bent ⼃) ② rs. old man with long hair 耂 leaning on a cane 匕,婆 翁; 久; 召; 旧 古; 考,,,152
点,"⺊, 口, 灬","Dot, speck, spot, point, degree",diǎn,"点
├── 占
│   ├── ⺊
│   └── 口
└── 灬",⿱⿱⺊口灬,① observing 占 black 黑 spots 点 ② ⓢ observing 占 spots after burning 灬 something,要; 班,,,153
身,⾝,"Body, trunk, hull, rad. 158",shēn,身,⾝,① standing bear with a fat body  → 身," 尸 ⺼ 体; 窮 射
",,,154
东,东,"East, eastern, eastward","dōng, Dōng","东
├── 七
│   ├── 乚
│   └── 一
└── 小",东,"① lit.: sun 日 shining through the trees 木 in the morning: the sun rises in the east ② con. early in the morning ③ ⓢ the car's axle broke (車 → 车), and we headed back east 东", 朝; 圣; 凍 棟 欄 練 錬 陳,,,155
由,由,"Cause, reason, from, a source, derivation, up to",yóu,"由
├── 37024
│   ├── 二
│   └── 丨
└── 凵",,① rs. young plant 丨 sprouting from a field 田: source and cause of happyness for the farmer ② con.: something coming out of something,,,,156
何,"亻, 一, 亅, 口","What, why, where, which, how","hé, Hé","何
├── 亻
└── 可
    ├── 丁
    │   ├── 一
    │   └── 亅
    └── 口",⿰亻⿹⿱一亅口,① questions are good 可 for a person 亻: they keep the mind fresh and the attention focused; rs. person 亻carrying an axe 可,奈; 荷,,,157
向,"丿, 冂, 口","Turn, face, toward, direction, trend","xiàng, Xiàng","向
├── 宀
└── 口",⿵⿱丿冂口,① rs. window 口 in a house 宀 facing a certain direction,赴 臨; 対 反,,,158
至,⾄,"Reach, arrive, extremely, very, climax",zhì,至,⾄,① arrow stuck in the ground:  → 至: it has reached it's climax ② one 一 individual 厶 reached his destination 土,払 去 台 広 参; 着 達 及 届; 室 窒 到 致 屋,,,159
物,"牛, 勹, 丿","Thing, substance, creature",wù,"物
├── 牛
└── 勿
    ├── 勹
    └── 37125
        └── ㇒",⿰牛⿹勹⿱丿丿,① cows 牛 and animals 勿 are the things dearest to a farmer,事 件 品 具; 惣: 総,,,160
战,"⺊, 口, 戈","War, fighting, battle",zhàn,"战
├── 占
│   ├── ⺊
│   └── 口
└── 戈",⿰⿱⺊口戈,① a single 單 individual carrying a spear 戈 going into battle/fortuneteller 占 predicting the use of spears 戈 ② take possession 占 by spears 戈,戦,,,161
业,"⼋, ⼁, ⼀","Profession, business, trade","yè, Yè","业
├── 37859
│   ├── 10001
│   │   └── 丨
│   └── 丷
└── 一",⿱⿻⼋⿰⼁⼁⼀,① sheep 羊 grazing from the luxuriant vegetation 菐: a good trade ② ⓢ the sheep stand side by side 业,商 営 用; 学; 縁 運; 技 行,,,162
被,"衤, 皮","Bedding, cover, spread, reach, put on, wear, suffer, passive indicator (by)",bèi,"被
├── 衤
└── 皮",⿰衤皮,① clothes 衤 used like a skin 皮: cover for a bed or wearing it in case one suffers ② leather 皮  clothes 衤worn by a masochist (passive indicator who likes to suffer the action),,,,163
政,"一, 止, 攵","Government, political affairs",zhèng,"政
├── 正
│   ├── 一
│   └── 止
└── ⺙",⿰⿱一止攵,① hand 攵 moving the country in the correct 正 direction ② rs. correct 正 action with the hand 攵,,,,164
内,"冂, 人",Inside,nèi,"内
├── 人
└── 冂",⿻冂人,① person 人 inside a house 冂," 奥 中; 肉 納 丙
",,,165
五,"一, 力",Five,wǔ,"五
├── 一
└── 65460
    ├── 力
    └── 一",⿱一⿱力一,① hand with five fingers  → 五 ② con.: hand,戊,,,166
儿,⼉,"Son, child, oneself, final part, rad. 10","rén, ér, r",儿,⼉,"① from 人:  →  → 儿: legs ② a child is small like a seed being grinded into smaller pieces in a mortar 臼 and walks on legs 儿 ③ if one sees his child, one sees a part of oneself ④ con.: man",,,,167
